timestamp,station,rain_10min_mm,rain_cum_mm,status,fetched_at
2026-06-10T06:20:00+09:00,浅間山,,,missing,2026-06-10T08:30:39.775241+09:00
2026-06-10T06:20:00+09:00,白銀山,0,0,ok,2026-06-10T08:30:39.775241+09:00
2026-06-10T06:30:00+09:00,南郷山,0,0,ok,2026-06-10T08:30:39.775241+09:00
2026-06-10T06:30:00+09:00,浅間山,,,missing,2026-06-10T08:30:39.775241+09:00
2026-06-10T06:30:00+09:00,白銀山,0,0,ok,2026-06-10T08:30:39.775241+09:00
2026-06-10T06:40:00+09:00,南郷山,0,0,ok,2026-06-10T08:30:39.775241+09:00
2026-06-10T06:40:00+09:00,浅間山,,,missing,2026-06-10T08:30:39.775241+09:00
2026-06-10T06:40:00+09:00,白銀山,0,0,ok,2026-06-10T08:30:39.775241+09:00
2026-06-10T06:50:00+09:00,南郷山,0,0,ok,2026-06-10T08:30:39.775241+09:00
2026-06-10T06:50:00+09:00,浅間山,,,missing,2026-06-10T08:30:39.775241+09:00
2026-06-10T06:50:00+09:00,白銀山,0,0,ok,2026-06-10T08:30:39.775241+09:00
2026-06-10T07:00:00+09:00,南郷山,0,0,ok,2026-06-10T08:30:39.775241+09:00
2026-06-10T07:00:00+09:00,浅間山,,,missing,2026-06-10T08:30:39.775241+09:00
2026-06-10T07:00:00+09:00,白銀山,0,0,ok,2026-06-10T08:30:39.775241+09:00
2026-06-10T07:10:00+09:00,南郷山,0,0,ok,2026-06-10T08:30:39.775241+09:00
2026-06-10T07:10:00+09:00,浅間山,,,missing,2026-06-10T08:30:39.775241+09:00
2026-06-10T07:10:00+09:00,白銀山,0,0,ok,2026-06-10T08:30:39.775241+09:00
2026-06-10T07:20:00+09:00,南郷山,0,0,ok,2026-06-10T08:30:39.775241+09:00
2026-06-10T07:20:00+09:00,浅間山,,,missing,2026-06-10T08:30:39.775241+09:00
2026-06-10T07:20:00+09:00,白銀山,0,0,ok,2026-06-10T08:30:39.775241+09:00
2026-06-10T07:30:00+09:00,南郷山,0,0,ok,2026-06-10T08:30:39.775241+09:00
2026-06-10T07:30:00+09:00,浅間山,,,missing,2026-06-10T08:30:39.775241+09:00
2026-06-10T07:30:00+09:00,白銀山,0,0,ok,2026-06-10T08:30:39.775241+09:00
2026-06-10T07:40:00+09:00,南郷山,0,0,ok,2026-06-10T08:30:39.775241+09:00
2026-06-10T07:40:00+09:00,浅間山,,,missing,2026-06-10T08:30:39.775241+09:00
2026-06-10T07:40:00+09:00,白銀山,0,0,ok,2026-06-10T08:30:39.775241+09:00
2026-06-10T07:50:00+09:00,南郷山,0,0,ok,2026-06-10T08:30:39.775241+09:00
2026-06-10T07:50:00+09:00,浅間山,,,missing,2026-06-10T08:30:39.775241+09:00
2026-06-10T07:50:00+09:00,白銀山,0,0,ok,2026-06-10T08:30:39.775241+09:00
2026-06-10T08:00:00+09:00,南郷山,0,0,ok,2026-06-10T08:30:39.775241+09:00
2026-06-10T08:00:00+09:00,浅間山,,,missing,2026-06-10T08:30:39.775241+09:00
2026-06-10T08:00:00+09:00,白銀山,0,0,ok,2026-06-10T08:30:39.775241+09:00
2026-06-10T08:10:00+09:00,南郷山,0,0,ok,2026-06-10T08:30:39.775241+09:00
2026-06-10T08:10:00+09:00,浅間山,,,missing,2026-06-10T08:30:39.775241+09:00
2026-06-10T08:10:00+09:00,白銀山,0,0,ok,2026-06-10T08:30:39.775241+09:00
2026-06-10T08:20:00+09:00,南郷山,0,0,ok,2026-06-10T08:30:39.775241+09:00
2026-06-10T08:20:00+09:00,浅間山,,,missing,2026-06-10T08:30:39.775241+09:00
2026-06-10T08:20:00+09:00,白銀山,0,0,ok,2026-06-10T08:30:39.775241+09:00
2026-06-10T08:30:00+09:00,南郷山,0,0,ok,2026-06-10T11:14:28.943945+09:00
2026-06-10T08:30:00+09:00,浅間山,,,missing,2026-06-10T11:14:28.943945+09:00
2026-06-10T08:30:00+09:00,白銀山,0,0,ok,2026-06-10T11:14:28.943945+09:00
2026-06-10T08:40:00+09:00,南郷山,0,0,ok,2026-06-10T11:14:28.943945+09:00
2026-06-10T08:40:00+09:00,浅間山,,,missing,2026-06-10T11:14:28.943945+09:00
2026-06-10T08:40:00+09:00,白銀山,0,0,ok,2026-06-10T11:14:28.943945+09:00
2026-06-10T08:50:00+09:00,南郷山,0,0,ok,2026-06-10T11:14:28.943945+09:00
2026-06-10T08:50:00+09:00,浅間山,,,missing,2026-06-10T11:14:28.943945+09:00
2026-06-10T08:50:00+09:00,白銀山,0,0,ok,2026-06-10T11:14:28.943945+09:00
2026-06-10T09:00:00+09:00,南郷山,0,0,ok,2026-06-10T11:14:28.943945+09:00
2026-06-10T09:00:00+09:00,浅間山,,,missing,2026-06-10T11:14:28.943945+09:00
2026-06-10T09:00:00+09:00,白銀山,0,0,ok,2026-06-10T11:14:28.943945+09:00
2026-06-10T09:10:00+09:00,南郷山,0,0,ok,2026-06-10T11:14:28.943945+09:00
2026-06-10T09:10:00+09:00,浅間山,,,missing,2026-06-10T11:14:28.943945+09:00
2026-06-10T09:10:00+09:00,白銀山,0,0,ok,2026-06-10T11:14:28.943945+09:00
2026-06-10T09:20:00+09:00,南郷山,0,0,ok,2026-06-10T11:14:28.943945+09:00
